id,vague_r,hedge_r,neg_r,passive_r,fog_idx,avg_len,len_var,num_den,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sent_pos,sent_neg,sent_neu,time_r,excl_r,quest_r,drift_sc,label_int
FS-1259,0.0,0.0,0.0,0.0,79.59361702,11.75,10.6875,0.17021277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04255319,0.0,0.0,0.0,2
FS-2150,0.0,0.0,0.0,0.0,72.7827957,20.66666667,24.88888889,0.08064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01612903,0.0,0.0,0.0,0
FS-1186,0.0,0.0,0.0,0.0,67.52768362,19.66666667,8.22222222,0.05084746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
FS-2294,0.0,0.0,0.0,0.0,72.38518519,18.0,24.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03703704,0.0,0.0,0.0,0
FS-1121,0.0,0.0,0.0,0.0,76.65376344,20.66666667,4.22222222,0.09677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01612903,0.0,0.0,0.0,0
FS-2478,0.0,0.0,0.0,0.0,82.16557377,15.25,32.1875,0.19672131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03278689,0.0,0.0,0.0,2
FS-2901,0.0,0.0,0.0,0.0,75.59510204,19.6,29.84,0.08163265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01020408,0.0,0.0,0.0,0
FS-0531,0.0,0.0,0.0,0.0,68.27692308,13.0,12.5,0.15384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01923077,0.0,0.0,0.0,0
FS-2492,0.0,0.0,0.0,0.0,75.24177215,19.75,69.1875,0.07594937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-1180,0.0,0.0,0.0,0.0,70.77948718,17.33333333,76.22222222,0.11538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03846154,0.0,0.0,0.0,0
FS-0553,0.0,0.0,0.0,0.0,75.61904762,23.33333333,1.55555556,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01428571,0.98571429,0.02857143,0.0,0.0,0.0,0
FS-1516,0.0,0.0,0.0,0.0,69.98358209,16.75,7.6875,0.13432836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02985075,0.0,0.0,0.0,0
FS-0240,0.0,0.0,0.0,0.0,63.91851852,13.5,38.75,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01851852,0.0,0.0,0.0,2
FS-2841,0.0,0.0,0.0,0.0,77.04594595,27.75,115.6875,0.06306306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00900901,0.0,0.0,0.0,0
FS-1237,0.0,0.0,0.0,0.0,83.29308176,17.66666667,17.55555556,0.1509434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01886792,0.0,0.0,0.0,0
FS-2378,0.0,0.0,0.0,0.0,72.16140351,19.0,44.66666667,0.10526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01754386,0.98245614,0.0,0.0,0.0,0.0,0
FS-2823,0.0,0.0,0.0,0.0,77.11111111,15.0,12.33333333,0.02222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
